height,price,dealNumber,SectorStartEpoch,StartEpoch,LabelShort,TotalSize
262000,20000000000,1,262085,267175,1,2147483648
262000,19800000000,10,262091,268566,10,21474836480
262000,16000000000,1,262939,267712,1,34359738368
262000,6250000000,1,262047,266319,1,67108864
262000,6000000000,5,262196,265150,5,10737418240
262000,4000000000,1,262774,267174,1,8589934592
262000,3500000000,1,262231,268372,1,1073741824
262000,3000000000,3,262196,267707,3,3221225472
262000,2000000000,13,262043,264248,13,30064771072
262000,1000000000,133,262023,265007,108,282410876928
262000,800000000,3,262329,269093,3,19327352832
262000,600000000,18,262347,265354,14,38654705664
262000,500000000,50,262023,266407,47,52076478464
262000,470000000,2,262739,267554,2,1073741824
262000,400000000,1,262741,268613,1,1073741824
262000,300000000,7,262347,268066,4,7516192768
262000,250000000,103,262046,268226,100,54228156416
262000,200000000,99,262044,268488,99,210990268416
262000,150000000,1,262741,268226,1,536870912
262000,100000000,29,262044,266438,29,30601641984
262000,62500000,4,262072,265187,3,536870912
262000,50000000,1,262994,270584,1,536870912
262000,31250000,2,262023,268851,2,134217728
262000,25000000,1,262994,270655,1,268435456
262000,20000000,19,262196,264791,3,2490368
262000,2000,10,262345,269745,10,21474836480
262000,1000,8,262345,266803,8,8589934592
262000,62,1,262345,268851,1,67108864
262000,0,134,262005,265999,134,3525161517056
261000,1000000000000,1,261180,265690,1,262144
261000,100000000000,1,261077,268617,1,1073741824
261000,80000000000,1,261884,269338,1,8589934592
261000,40000000000,1,261986,268420,1,8589934592
261000,20000000000,2,261956,267076,2,4294967296
261000,12500000000,1,261008,265205,1,134217728
261000,10000000000,12,261139,265221,11,23890755584
261000,9900000000,1,261525,268494,1,1073741824
261000,6250000000,1,261225,265287,1,134217728
261000,2000000000,3,261697,264504,3,8589934592
261000,1250000000,1,261006,265225,1,134217728
261000,1000000000,142,261012,262998,128,300681265152
261000,625000000,1,261139,265217,1,134217728
261000,600000000,12,261750,265133,11,25769803776
261000,500000000,76,261007,264763,67,95563022336
261000,300000000,4,261750,267787,3,4294967296
261000,250000000,113,261062,268115,110,60133736448
261000,200000000,91,261741,265260,91,195421011968
261000,125000000,1,261725,265179,1,134217728
261000,100000000,26,261596,262766,26,27917287424
261000,62500000,4,261046,265219,4,536870912
261000,37500000,1,261750,265207,1,134217728
261000,25000000,2,261996,268044,2,536870912
261000,20000000,14,261046,264791,1,1835008
261000,12500000,2,261741,265203,2,268435456
261000,9304,1,261701,263677,1,4096
261000,1921,1,261594,266035,1,1024
261000,1000,4,261466,265551,2,8589934592
261000,100,38,261281,266519,36,73014444032
261000,0,387,261004,262474,386,6695723401216
260000,100000000000,1,260135,265976,1,2147483648
260000,80000000000,1,260506,267970,1,8589934592
260000,62500000000,1,260295,265255,1,134217728
260000,20000000000,5,260889,262189,5,10737418240
260000,19800000000,2,260845,264335,2,4294967296
260000,12500000000,5,260054,265178,5,671088640
260000,10000000000,8,260984,265227,7,17179869184
260000,9000000000,1,260562,265623,1,8589934592
260000,7000000000,1,260134,267398,1,2147483648
260000,6250000000,3,260343,265195,3,402653184
260000,6000000000,11,260282,264456,11,23622320128
260000,5000000000,3,260222,262361,3,1207959552
260000,3000000000,5,260282,264641,5,5368709120
260000,2400000000,1,260975,267228,1,8589934592
260000,2000000000,43,260074,263921,43,100931731456
260000,1250000000,3,260506,262381,3,402653184
260000,1000000000,127,260012,264284,106,263083524096
260000,800000000,1,260737,267645,1,8589934592
260000,625000000,1,260984,265207,1,134217728
260000,600000000,19,260399,267147,16,40802189312
260000,500000000,42,260074,264260,36,44560285696
260000,437500000,1,260377,265185,1,134217728
260000,300000000,7,260399,267158,5,7516192768
260000,250000000,63,260404,265374,62,32818331648
260000,200000000,22,260437,267468,22,47244640256
260000,187500000,1,260282,266535,1,67108864
260000,125000000,3,260134,265192,3,805306368
260000,100000000,4,260437,267668,4,4294967296
260000,62500000,22,260119,265167,17,2952790016
260000,31250000,1,260924,266535,1,67108864
260000,20000000,34,260014,264792,2,4456448
260000,12500000,1,260838,265267,1,134217728
260000,1171875,1,260975,264799,1,4194304
260000,1000,2,260679,265126,2,4294967296
260000,0,280,260014,261454,266,6401648754688
259000,100000000000,1,259941,265716,1,1073741824
259000,64000000000,1,259991,265105,1,34359738368
259000,40000000000,3,259161,261773,3,17179869184
259000,30080000000,1,259890,264994,1,34359738368
259000,20000000000,4,259161,261557,4,8589934592
259000,19800000000,7,259008,264943,7,15032385536
259000,16000000000,1,259388,264875,1,34359738368
259000,14000000000,1,259141,265322,1,4294967296
259000,10000000000,17,259686,261789,17,34359738368
259000,9900000000,4,259008,264797,4,4294967296
259000,8000000000,1,259912,264992,1,17179869184
259000,5000000000,7,259686,263916,7,6710886400
259000,4950000000,5,259008,264464,5,2684354560
259000,4000000000,1,259819,265044,1,8589934592
259000,3500000000,4,259232,264691,4,4294967296
259000,2500000000,1,259686,265564,1,536870912
259000,2000000000,6,259111,264382,6,15032385536
259000,1750000000,1,259231,264675,1,536870912
259000,1250000000,1,259686,266858,1,268435456
259000,1237500000,1,259008,265617,1,134217728
259000,1000000000,100,259065,262104,98,211527139328
259000,940000000,1,259722,264501,1,1073741824
259000,600000000,20,259065,266005,20,42949672960
259000,500000000,52,259062,262653,51,64961380352
259000,300000000,5,259065,263915,5,4563402752
259000,250000000,10,259062,262613,10,6442450944
259000,200000000,21,259065,264686,21,44023414784
259000,150000000,3,259573,266250,3,1610612736
259000,125000000,5,259065,262732,5,1342177280
259000,100000000,8,259213,266268,8,8589934592
259000,62500000,6,259366,259929,6,805306368
259000,50000000,1,259213,265501,1,536870912
259000,25000000,3,259213,264920,3,805306368
259000,20000000,13,259575,264791,1,1703936
259000,12500000,1,259213,264480,1,134217728
259000,9309,1,259387,263677,1,4096
259000,2000,2,259534,259566,2,4294967296
259000,1000,1,259908,264113,1,2147483648
259000,0,91,259020,260627,87,2085206622208
258000,320000000000,1,258191,264673,1,34359738368
258000,80000000000,2,258031,264661,2,17179869184
258000,40000000000,1,258179,265013,1,4294967296
258000,20000000000,2,258179,265171,2,4294967296
258000,19800000000,3,258389,260286,3,6442450944
258000,16000000000,1,258933,264673,1,34359738368
258000,10000000000,4,258505,264725,4,7516192768
258000,8000000000,1,258943,264693,1,17179869184
258000,7520000000,1,258617,264838,1,8589934592
258000,7000000000,1,258734,265808,1,2147483648
258000,6000000000,4,258343,263843,4,8589934592
258000,5000000000,5,258363,265762,4,5368709120
258000,3500000000,2,258332,262369,2,2147483648
258000,2000000000,14,258059,261606,14,57982058496
258000,1880000000,42,258128,264246,42,90194313216
258000,1750000000,1,258332,262469,1,536870912
258000,1600000000,1,258063,264693,1,17179869184
258000,1500000000,3,258343,263756,3,1610612736
258000,1000000000,57,258050,262057,54,118245818368
258000,940000000,6,258128,264474,6,6442450944
258000,781250000,1,258728,261377,1,8388608
258000,500000000,13,258054,261903,11,15032385536
258000,375000000,1,258343,264099,1,134217728
258000,250000000,4,258190,263710,4,2147483648
258000,200000000,11,258063,265515,11,23622320128
258000,125000000,1,258208,263953,1,268435456
258000,100000000,9,258861,265697,9,9663676416
258000,62500000,3,258179,259883,3,402653184
258000,20000000,3,258142,259094,2,393216
258000,2000,25,258190,264499,25,53687091200
258000,1000,15,258190,264065,15,31138512896
258000,500,1,258190,264672,1,536870912
258000,0,141,258000,261424,140,3428457644032
257000,200000000000,17,257002,261726,17,36507222016
257000,24000000000,1,257977,264246,1,8589934592
257000,20000000000,1,257288,263961,1,2147483648
257000,19800000000,15,257186,258966,15,32212254720
257000,16000000000,2,257659,257922,2,68719476736
257000,15040000000,1,257530,264670,1,17179869184
257000,10000000000,13,257398,262672,13,27917287424
257000,9900000000,1,257186,263689,1,1073741824
257000,8000000000,1,257012,258114,1,17179869184
257000,7000000000,2,257731,262486,2,4294967296
257000,6000000000,2,257977,264085,2,4294967296
257000,5000000000,6,257288,262475,6,5905580032
257000,4950000000,1,257186,263616,1,536870912
257000,3500000000,2,257611,262702,2,2147483648
257000,3125000000,1,257188,261281,1,33554432
257000,3000000000,1,257977,264317,1,1073741824
257000,2500000000,1,257421,262368,1,536870912
257000,2475000000,1,257186,264182,1,268435456
257000,2000000000,15,257015,261580,15,64424509440
257000,1880000000,19,257437,264704,19,40802189312
257000,1750000000,3,257611,261495,3,1610612736
257000,1250000000,1,257421,262511,1,268435456
257000,1000000000,31,257010,259577,31,66571993088
257000,940000000,4,257437,264804,4,4294967296
257000,625000000,3,257421,259873,3,402653184
257000,500000000,8,257019,262689,8,8053063680
257000,490000000,1,257471,264763,1,1073741824
257000,437500000,1,257611,262755,1,134217728
257000,400000000,6,257607,257663,6,12884901888
257000,312500000,1,257421,261379,1,67108864
257000,250000000,1,257019,262788,1,536870912
257000,200000000,14,257426,257895,14,16106127360
257000,125000000,1,257423,261309,1,268435456
257000,100000000,5,257426,258283,5,4294967296
257000,78125000,2,257144,261591,1,33554432
257000,62500000,2,257019,259928,2,268435456
257000,50000000,1,257607,257896,1,268435456
257000,25000000,2,257607,257946,2,268435456
257000,20000000,1,257489,259096,1,131072
